zinc_id,smiles
ZINC000003410595,ClCc1coc(-c2cccs2)n1
ZINC000014630115,CCC[C@@H](C)COc1ccc(N)cc1
ZINC000095618192,CC[C@H]1SC(CC(C)C)=N[C@@H]1C
ZINC000058481010,Cc1cccc([C@H](C)Cl)c1
ZINC000019968913,CC(C)(C)[C@H](N)c1ccc(F)cc1F
ZINC000002504674,CC(C)(C)PC(C)(C)C
ZINC000004218553,CCCC[C@H](CC)CN=C=S
ZINC000042784129,CC[C@@H](C)c1ccc(OC)c(C=O)c1
ZINC000035564985,Cc1ccc(-c2ccccc2)cc1O
ZINC000001672809,CCCCCCCCCC(=O)OC
ZINC000034568297,CCC/C=C1\OC(=O)C2=C1CCCC2
ZINC000014684770,C=C(C)/C=C\[C@H]1C[C@@H](C)CCCO1
ZINC000014985749,Cc1cc2[nH]ccc2cc1Cl
ZINC000001715382,N#CC1c2ccccc2-c2ccccc21
ZINC000062719686,C[C@@H]1CC(=O)C[C@H](c2ccccc2)C1
ZINC000085221242,Cc1ccc2c(c1)C(C)(C)CCN2
ZINC000088243590,CCC[C@H](Cl)[C@H](C)Cl
ZINC000000403373,O=C(Cl)Oc1ccccc1Cl
ZINC000016125803,Cc1cc(OC(F)(F)F)ccc1F
ZINC000001609602,CC(C)CC(=O)CCc1ccccc1
ZINC000003628328,Oc1ccc2oc3c(c2c1)CCCC3
ZINC000000096773,O=[N+]([O-])/C=C/c1cccc2ccccc12
ZINC000044268954,CC(C)(C#N)c1ccccc1Cl
ZINC000000968333,c1ccc2c(c1)Cc1ccccc1-2
ZINC000001699431,C[C@@H]1CC[C@@H](C)[C@H](C)C1
ZINC000238667627,C=CCCCCCC[C@H](O)CC=C
ZINC000004097552,C1SSCSSS1
ZINC000037131989,Oc1ccc(NC2CCCCC2)cc1
ZINC000095618188,CC[C@H](C)C1=N[C@H](C)[C@@H](CC)S1
ZINC000005177598,CC1(C)Cc2cccc(CCl)c2O1
ZINC000085947631,C=C(C/C=C/C)C(C)C
ZINC000142285011,C=CC/C=C/CCCCCCCO
ZINC000000967535,c1ccc2c(c1)Cc1ccccc1O2
ZINC000117496280,CCOC(=O)CCCCC(C)(C)C
ZINC000031375283,CC(C)C/C=N/CCC(C)C
ZINC000013429772,O=C(O)CCCCCC[C@@H]1C=CCC1
ZINC000001665021,C=COC(=O)CCCCCCC
ZINC000004517670,Oc1cccc2cc3ccccc3nc12
ZINC000053819238,CC(C)(C)[C@@H](N)CC1CCCCC1
ZINC000083260336,CC(C)[C@H]1CC[C@@H](C)C[C@@H]1C#N
ZINC000504584427,CCCCC[C@@H](C)[C@H](C)C(=O)OC
ZINC000019961695,CC(C)CNc1cc(F)cc(F)c1
ZINC000002028342,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2
ZINC000038051775,CNCc1cccc(-c2ccccc2)c1
ZINC000003705307,C[C@@H](N)c1cc(Cl)ccc1Cl
ZINC000001531619,C=C/C(C)=C\CC=C(C)C
ZINC000013495671,Nc1ccccc1-c1ccccc1F
ZINC000015120276,COC(/C=C(/C)CCC=C(C)C)OC
ZINC000100778613,CC(C)[C@@H]1CC[C@H](C)[C@@H]1C
ZINC000082707858,ClCc1sccc1Cl
ZINC000095616417,ClCc1c(Cl)cncc1Cl
ZINC000003874054,CC1=CC(C)(C)Nc2ccccc21
ZINC000013208846,Cc1ccc(-c2ccccc2)nc1
ZINC000103523096,C/C=C\C=N\CCCC/N=C\C=C\C
ZINC000001701190,CC(C)=CCC/C(C)=C/C#N
ZINC000034568355,CC(=O)c1c(Cl)[nH]c2ccccc12
ZINC000019093840,CC[C@@H](C)NC1CCCCCC1
ZINC000000120047,Cc1cc2cccnc2c2ncccc12
ZINC000002389872,CCCCSC(=O)c1ccccc1
ZINC000019911050,CCNc1cc(Cl)cc(Cl)c1
ZINC000000158466,N#Cc1csc2ccc(Cl)cc12
ZINC000020267942,Cc1cc(C)c(C)c(S)c1C
ZINC000002034630,CCCC[C@H](C)CC
ZINC000034938894,Cc1cc([C@H](N)C(C)C)c(C)s1
ZINC000035731064,Fc1cc(F)c2c(Cl)ccnc2c1
ZINC000001519656,Cc1ccc(-n2cccc2)c(C)c1
ZINC000006030732,CC1=CC[C@@H](C)[C@@H](C)[C@@]12C=C[C@H](C)O2
ZINC000002514317,O=C(c1ccc(Cl)cc1)C1CCC1
ZINC000100075113,C[C@@H]1CC[C@@H]2[C@@H](C1)C2(C)C
ZINC000108370342,N#CCc1ccc2cc(F)ccc2c1
ZINC000002000476,CCCCC[C@@H](N)c1ccccc1
ZINC000307020967,Cc1cc(F)c(CCl)c(F)c1
ZINC000002577404,Clc1ccc([C@@H]2CCCCN2)cc1
ZINC000002509678,Fc1ccc(CCl)cc1Cl
ZINC000001850337,CC1=C(CC[C@H](C)O)C(C)(C)CC=C1
ZINC000006201013,C[C@H](C=O)Cc1cccc2ccccc12
ZINC000002034528,CCC[C@H](C)CC(C)C
ZINC000034329731,CNc1c(Cl)cccc1Cl
ZINC000095347760,C[C@H]1CC[C@H](CCCC(=O)O)C1(C)C
ZINC000002038653,CCCCCCCC[C@@H]1CO1
ZINC000196582907,CC(C)[C@@]12CC[C@@H](C)[C@@H]1C2
ZINC000238093372,C=CC[C@H](Cc1ccccc1)N=[N+]=[N-]
ZINC000000801469,CCc1cc2ccccc2nc1Cl
ZINC000014883474,C=C1C=CCC(C)(C)[C@@]12CC[C@@H](C)O2
ZINC000159664203,[N-]=[N+]=NCC(F)(F)c1ccccc1
ZINC000002038665,CCCC#CCCCCC
ZINC000088243589,CCC[C@@H](Cl)[C@@H](C)Cl
ZINC000002528086,S=C=Nc1ccccc1N=C=S
ZINC000104829615,CC1=C[C@H]2[C@@H](C1)[C@@H]1C=C(C)[C@@H]2C1
ZINC000032227225,CC[C@@H](C)OC(=O)CCC1CCCC1
ZINC000014986085,Clc1ccc(Cl)c2[nH]ccc12
ZINC000000968134,Oc1ccccc1-c1ccccc1
